school,department,dept,Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
School of Arts and Sciences,School of Arts and Sciences,CAS,0.00378683787484946,0.010607882368934,0.159318530018299,0.105937601991179,0.132714678984917,0.00322211172508095,0.0403071085155139,0.00554028445988992,0.00322211172508096,0.0149201198029244,0.0242402000383491,0.00322211172508125,0.00322211172508154,0.00557628395452755,0.00671553965466184,0.0116981040326845,0.0121138331384038,0.382797129509297,0.0168487543223872,0.0539886644328575
School of Arts and Sciences,"Women's, Gender and Sexuality Studies Program",WGSS,0.0596297083073312,0.0031373959697795,0.11445529797629,0.140837437522128,0.0390999969899738,0.00363551169918931,0.451583685946589,0.0351439941745857,0.00313739596977839,0.0272128692219133,0.00713063279824956,0.00313739596977845,0.00751182833204512,0.0202125183364098,0.00500649765455332,0.00329466430264106,0.027293957752444,0.0306151356338896,0.0142733368733321,0.00365073856909873
School of Arts and Sciences,World Languages & Cultures,ARAB,0.0158412874170854,0.00585039895585899,0.0558422956944586,0.0472318523082722,0.0523272331518762,0.00491801850945615,0.00491801850945291,0.0373785363004265,0.00967963906409957,0.00491801850945331,0.627175609228223,0.0086413914197796,0.0150800561059425,0.0208541729679214,0.0049180185094515,0.00491801850945181,0.0348244188367755,0.0227366156044514,0.0055776194618905,0.0163687809356731
School of Arts and Sciences,World Languages & Cultures,CHIN,0.0130677572838106,0.00449944654347951,0.0465152733091934,0.0311740568720264,0.0103965224381004,0.00401922736859378,0.00432542498315179,0.0260964136836474,0.00401922736859181,0.00491600841042517,0.757438660576696,0.00401922736859225,0.00738889847096137,0.00912808733689241,0.00401922736859175,0.00401922736859215,0.0345849577598275,0.0151094203367072,0.0109564428100878,0.00430649234203139
School of Arts and Sciences,World Languages & Cultures,FREN,0.0202945265687928,0.0280992466534874,0.0514904444679504,0.0556267984899798,0.132074069042294,0.0127676086098538,0.0140264527562799,0.155619486092019,0.00506726144486769,0.0052978424980799,0.417815237256868,0.0157970286490021,0.00459517426747678,0.00636834883572955,0.00454058197268788,0.00645085427324356,0.039826589715478,0.0151612844605339,0.0045405819726874,0.0045405819726879
School of Arts and Sciences,World Languages & Cultures,GERM,0.0832998284745826,0.00410532385903392,0.0636456703788016,0.0241176103294421,0.0321154825246475,0.0161092669627432,0.0207199402488267,0.105022577056753,0.00410532385903388,0.00438701114848818,0.55355902267957,0.00564531205634028,0.00410532385903478,0.00501245239067883,0.00410532385903419,0.0041053238590351,0.0217726806518462,0.0314334771125985,0.00410532385903467,0.00852772483047561
School of Arts and Sciences,World Languages & Cultures,HEBR,0.00690956431604555,0.00690956431599972,0.00690956431600835,0.0701667916650002,0.0291934214983405,0.00690956431600557,0.00690956431601206,0.00690956431603167,0.00690956431600744,0.00690956431600916,0.697056866165318,0.00690956431600102,0.0069095643160013,0.00690956431600318,0.00690956431600058,0.0069095643160222,0.0870128577551488,0.0129265981760337,0.00690956431601285,0.00690956431599858
School of Arts and Sciences,World Languages & Cultures,ITAL,0.0473579639696837,0.00781835944233005,0.0911911867540016,0.0498288844756353,0.0680153652972174,0.00781835944233349,0.012479731402053,0.0148159397940107,0.00781835944233089,0.00781835944233596,0.519941492045211,0.00781835944233051,0.00781835944233071,0.00781835944232988,0.00939667053034107,0.00781835944233121,0.0610167298942491,0.0273988231719159,0.0103354511245751,0.0256748860024531
School of Arts and Sciences,World Languages & Cultures,JAPN,0.0257474218802883,0.00727721586262104,0.108252352841317,0.0492877408959246,0.0306116593226223,0.00727721586262537,0.00727721586262248,0.0312968206463037,0.00727721586262196,0.0193292997787722,0.514306121842199,0.00727721586262103,0.00727721586262183,0.015810575339716,0.00727721586262158,0.0316332695693684,0.0692283940004827,0.0311069490964927,0.0115494688870269,0.0108994148611311
School of Arts and Sciences,World Languages & Cultures,KOR,0.0338287062326585,0.0250386286856474,0.0163486230985801,0.083283932746271,0.0315460797791242,0.00558983079502192,0.0305529381039211,0.0139954990549449,0.00558983079501963,0.0228011500577618,0.58771906051702,0.00558983079501733,0.0209863765621359,0.00558983079501583,0.00558983079501736,0.00558983079502053,0.0666088157685917,0.0123010375126781,0.015860336315537,0.00558983079501595
School of Arts and Sciences,World Languages & Cultures,LING,0.00836439631059519,0.0185245225128258,0.0735021108723295,0.0386780878111095,0.033608284965234,0.0106539329816275,0.0920189112814422,0.0305571843648144,0.148873458791152,0.0282198890113106,0.283643414523215,0.00570246257875798,0.0167131277472893,0.0447158910739133,0.0173277552556836,0.0128310400051537,0.00209509246937241,0.0705874008255921,0.0612879441492057,0.00209509246937584
