school,department,dept,year (fall),Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,Department of Management,MGMT,2017,0.00523320501555971,0.45133995836295,0.0362914471268435,0.0436015603837171,0.0206364266423274,0.0258416741260483,0.00372200401151819,0.00870567979848203,0.0169094584749654,0.0788631825160578,0.00507448353416898,0.0883578703335466,0.0276536632410445,0.0405010544347833,0.00758837727002298,0.00785561603384022,0.0695775119012324,0.0114963498885785,0.0274330446630887,0.0233174322412241
Kogod School of Business,Department of Management,MGMT,2018,0.00341842324591074,0.498568449020228,0.0374442843970793,0.0463683570966345,0.0204020171665868,0.0259584792189793,0.00176340350328023,0.00758594193865255,0.0195005172065031,0.0838525077789958,0.00324375412168007,0.0924726020969539,0.0331875641326761,0.041423673639708,0.00658522367657619,0.00623360501769918,0.00936321102968477,0.010263110150377,0.0271700755353353,0.0251948000264594
Kogod School of Business,Department of Management,MGMT,2019,0.00438091426205835,0.500682827143528,0.0368719099515795,0.0456565440152041,0.0200959281465634,0.0255655704793874,0.00174854282174616,0.00748010409406552,0.0220041629038017,0.0809719157442239,0.00320576296173327,0.0935045780477563,0.0331527689096249,0.0345350006677753,0.00649502205483433,0.00614889743750212,0.00922960335555045,0.0101154415524821,0.0312592346356618,0.0268952708149214
Kogod School of Business,Department of Management,MGMT,2020,0.00426369393957335,0.476476146503841,0.0438861638922633,0.0442885470335333,0.0195024952821237,0.0248063908775896,0.00268444602683663,0.00726896892818664,0.023455346772041,0.0799004885912647,0.00312415328471284,0.0927435965834364,0.0321636742038806,0.0335040201511782,0.0296354130471658,0.00597810186727676,0.00896545306053567,0.00954287252532545,0.0303275197564013,0.0274825076728333
Kogod School of Business,Department of Management,MGMT,2021,0.00659210031298112,0.488866434516776,0.0426179659440203,0.0430085142870178,0.0189514640577083,0.0240993627238959,0.00262806330992986,0.00739712615780314,0.0232171180206182,0.0775730457989333,0.00305483800139781,0.0900384153207472,0.0312402553641195,0.0310445544391603,0.028786354829661,0.00582484691976884,0.0087243348426376,0.00928477138199246,0.0295446951163101,0.0275057386545212
Kogod School of Business,Department of Management,MGMT,2022,0.00599491449997928,0.486890045348679,0.0418205336290402,0.0432914680818213,0.0189619157410261,0.023133715282296,0.0026385149932476,0.00740757784112014,0.0232388891515071,0.0788619425936438,0.00306528968471573,0.0916364187455003,0.0312507070474373,0.0307508268089025,0.0288112843896219,0.00583529860308659,0.00873478652595543,0.00929522306531036,0.0306758373283487,0.0277048106387611
Kogod School of Business,Department of Management,MGMT,2023,0.0057496485809502,0.48585641548993,0.0542649868622678,0.0430462021627903,0.0147902404304819,0.022888449363267,0.00239324907421852,0.00716231192209108,0.022993623232478,0.0791951000497174,0.0028200237656863,0.0879899877010645,0.0310054411284083,0.0302586751997397,0.0285660184705928,0.00559003268405757,0.00848952060692641,0.00904995714628075,0.0304305714093196,0.0274595447197324
Kogod School of Business,Department of Management,MGMT,2024,0.00666289287215463,0.462754970905761,0.0527382186955787,0.041864344063809,0.0150690215219592,0.0324237922309949,0.00465119338388905,0.00726051399405773,0.0224709292020577,0.0762834396972156,0.00272180011233425,0.0850023673123545,0.0362372039306038,0.0372181178782649,0.0281274714780381,0.00963256629856031,0.00815174074901512,0.0102641696433216,0.0298733672151439,0.0305918788148859
Kogod School of Business,Department of Marketing,MKTG,2014,0.00524387865314821,0.363393755682864,0.0539456315178725,0.0300173006453565,0.0405679478159856,0.0206553803706434,0.00524387865314757,0.00524387865314904,0.0327576721431993,0.0112220598370592,0.00524387865314317,0.0135856938458021,0.123494504192626,0.00765029400653344,0.0484364744819188,0.0137877513036958,0.100526401866501,0.0418930101574047,0.0368956799808352,0.040194927539115
Kogod School of Business,Department of Marketing,MKTG,2015,0.00524387865314821,0.363393755682864,0.0539456315178725,0.0300173006453565,0.0405679478159856,0.0206553803706434,0.00524387865314757,0.00524387865314904,0.0327576721431993,0.0112220598370592,0.00524387865314317,0.0135856938458021,0.123494504192626,0.00765029400653344,0.0484364744819188,0.0137877513036958,0.100526401866501,0.0418930101574047,0.0368956799808352,0.040194927539115
Kogod School of Business,Department of Marketing,MKTG,2016,0.00494050741484474,0.373022161355405,0.0520967227257141,0.0288135364581924,0.037800106636088,0.01950381648999,0.00494050741484411,0.00494050741484545,0.0249357561339547,0.00873091176902026,0.00494050741483982,0.0164570938787574,0.143744689245859,0.00717903332497055,0.0462968222493417,0.0169402937406509,0.0931277164970445,0.0352384107757481,0.035558132341729,0.0407927667181612
Kogod School of Business,Department of Marketing,MKTG,2017,0.00476789316639626,0.383526379918447,0.0500704802786261,0.0287104830728825,0.0325007645102,0.0183061088478753,0.00476789316639768,0.00476789316639798,0.0286097450969122,0.0101242559526344,0.00476789316639642,0.0159167578919678,0.140469756898123,0.00700793360880348,0.0480517592932482,0.0166066356077252,0.0893846672134338,0.0363013079302085,0.0350948760468474,0.0402465151664779
Kogod School of Business,Department of Marketing,MKTG,2018,0.00272556386342402,0.425266323672891,0.0514273167281477,0.028389070085025,0.0327156223010996,0.0154097184125288,0.00272556386342876,0.00272556386342995,0.0268775524981982,0.00859700595702105,0.00272556386342109,0.0166408970926108,0.16912503423292,0.00513197921681629,0.0464058713474529,0.0267793338291467,0.0172442857992136,0.0378855339136341,0.0359257266359769,0.0452764728236133
Kogod School of Business,Department of Marketing,MKTG,2019,0.00265654170442416,0.410007746970058,0.05659011136618,0.0276941087498881,0.0319151353021563,0.0124050904265283,0.00265654170442881,0.00265654170442962,0.0262194574456675,0.00838477789329925,0.00265654170442152,0.0162324765621676,0.189336339935154,0.00500426400041639,0.043969063056552,0.0256921917609051,0.0168211484710482,0.0376285377146756,0.0364032401146807,0.0450701434129193
Kogod School of Business,Department of Marketing,MKTG,2020,0.00265654170442416,0.410007746970058,0.05659011136618,0.0276941087498881,0.0319151353021563,0.0124050904265283,0.00265654170442881,0.00265654170442962,0.0262194574456675,0.00838477789329925,0.00265654170442152,0.0162324765621676,0.189336339935154,0.00500426400041639,0.043969063056552,0.0256921917609051,0.0168211484710482,0.0376285377146756,0.0364032401146807,0.0450701434129193
Kogod School of Business,Department of Marketing,MKTG,2021,0.00257146598259169,0.409290251602545,0.0539964975205448,0.0293294486995304,0.0304691947618244,0.0139905366588273,0.00871227980041912,0.00371495929757985,0.025038432154475,0.00803327258128661,0.0025714659825891,0.0155159620097425,0.184383886675144,0.00567630664415376,0.0441052211123809,0.0245356904550512,0.0160772538298376,0.0370366708715246,0.0359852516672431,0.0489659516927087
